AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento|DESCRIZIONE_SINTETICA_CUP|ANNO_DECISIONE|STATO_PROGETTO|COSTO_PROGETTO|FINANZIAMENTO_PROGETTO|CODICE_STATO|STATO|CODICE_AREA_GEOGRAFICA|AREA_GEOGRAFICA|CODICE_REGIONE|CODICE_PROVINCIA|SIGLA_PROVINCIA|CODICE_COMUNE|PIVA_CODFISCALE_SOG_TITOLARE|SOGGETTO_TITOLARE|INDIRIZZO_SOG_TITOLARE|TIPO_INDIRIZZO_SOG_TITOLARE|NUM_CIVICO_SOG_TITOLARE|LOCALITA_SOG_TITOLARE|CAP_SOGGETTO_TITOLARE|COMUNE_SOGGETTO_TITOLARE|CODICE_COMUNE_SOGG_TITOLARE|CODICE_SOTTOCATEG_SOGGETTO|SOTTOCATEGORIA_SOGGETTO|CODICE_CATEGORIA_SOGGETTO|CATEGORIA_SOGGETTO|CODICE_AREA_SOGGETTO|AREA_SOGGETTO|CODICE_NATURA_INTERVENTO|NATURA_INTERVENTO|CODICE_TIPO_INTERVENTO|TIPOLOGIA_INTERVENTO|CODICE_AREA_INTERVENTO|AREA_INTERVENTO|CODICE_SETTORE_INTERVENTO|SETTORE_INTERVENTO|CODICE_SOTTOSETTORE_INTERVENTO|SOTTOSETTORE_INTERVENTO|CODICE_CATEGORIA_INTERVENTO|CATEGORIA_INTERVENTO|SOGGETTO_RICHIEDENTE|TIPOLOGIA_CUP|DESCRIZIONE_INTERVENTO|STRUTTURA_INFRASTRUTTURA|INDIRIZZO_INTERVENTO|NUMERO_DELIBERA_CIPE|ANNO_DELIBERA|FLAG_LEGGE_OBIETTIVO|FINANZA_PROGETTO|FLAG_TIPO_GENERICO|CUP_IN_RELAZIONE|RUOLO_IN_RELAZIONE|DESC_TIPO_RELAZIONE|DATA_ULTIMA_MODIFICA_SSC|DATA_ULTIMA_MODIFICA_UTENTE|DATA_CHIUSURA_REVOCA|CODICE_LOCALE_PROGETTO|CODICE_STRUMENTO_PROGRAM|STRUMENTO_PROGRAMMAZIONE|CODICE_COPERTURA_FINANZIARIA|COPERTURA_FINANZIARIA|SPONSORIZZAZIONI|ALTRE_INFORMAZIONI|DATA_GENERAZIONE_CUP|CONTROLLO_QUALITA|CUP_MASTER|RAGIONI_COLLEGAMENTO|LINK_OPENCOESIONE|LINK_SCUOLE_SICURE
NORD OVEST|CNIC81600C|CNEE81609V|"SALICETO - CAPOLUOGO ""A. MUZIO"""|SALICETO|SCUOLA PRIMARIA|VIA TENENTE MARTINI, 14|CUNEO|PIEMONTE|0042010001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|4.0|3.250,00|2.302,00|9.850,00|Esiste|Esiste|Non Esiste|Esiste|Esiste|SI|NO|SI|SI|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC817008|CNEE81701A|CERESOLE ALBA|CERESOLE ALBA|SCUOLA PRIMARIA|PIAZZA CACCIA|CUNEO|PIEMONTE|0040620001|CN|Attivo|NO|NO|NO|Non Comunicato|-|SI|NO|1971|Informazione assente|-|Informazione assente|4.0|3.702,00|2.367,00|9.330,00|Esiste|Non Esiste|Non Comunicato|Esiste|Esiste|SI|NO|SI|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Ceresole Alba|MIUR|2017-07-31|2016-04-01|2016-09-27|CERESOLE ALBA|COMUNE|CNIC817008|||44.801306|7.818533|Efficientamento energetico|Concluso|F41E15000070001|715000.0|715000.0|SCUOLA PRIMARIA E SECONDARIA*PIAZZA CACCIA 2*ELIMINAZIONE DEI PERICOLI DEI CORNICIONI, SOSTITUZIONE DEI SERRAMENTI E MIGLIORAMENTO ENERGETICO|2015|ATTIVO|715000|715000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4062.0|00478640048|COMUNE DI CERESOLE ALBA - CUNEO -|REGINA MARGHERITA|VIA|14|CERESOLE D'ALBA|12040|CERESOLE ALBA|4062.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|9.0|MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI CERESOLE ALBA - CUNEO -|NORMALE|ELIMINAZIONE DEI PERICOLI DEI CORNICIONI, SOSTITUZIONE DEI SERRAMENTI E MIGLIORAMENTO ENERGETICO|SCUOLA PRIMARIA E SECONDARIA|PIAZZA CACCIA 2|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||24-NOV-17||||99.0|ALTRO|1.0|STATALE|NON PREVISTE||18-FEB-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98241
NORD OVEST|CNIC820004|CNAA820011|SANTA VITTORIA D'ALBA-CAPOLUOGO|SANTA VITTORIA D'ALBA|SCUOLA INFANZIA|VIA CASTELLO 7|CUNEO|PIEMONTE|0042120001|CN|Attivo|SI|NO|SI|Non classificato a rischio|SI|NO|SI|-|prima del 1800|-|Dal 1976 in poi|3.0|700,00|530,00|2.000,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC820004|CNAA820022|SANTA VITTORIA D'ALBA-CINZANO|SANTA VITTORIA D'ALBA|SCUOLA INFANZIA|VIA DELLO SPUMANTE, 10|CUNEO|PIEMONTE|0042120002|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1977|Informazione assente|-|Informazione assente|3.0|3.700,00|3.080,00|5.952,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNMM161008|CNCT70100G|CENTRO TERRITORIALE  CUNEO|CUNEO|CENTRO TERRITORIALE|VIA BARBAROUX 7|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84800X|CNEE848089|CUNEO - FRAZ. S. BENIGNO|CUNEO|SCUOLA PRIMARIA|PIAZZALE DON GIOVANNI CAVALLO N. 4|CUNEO|PIEMONTE|0040780040|CN|Attivo|NO|NO|SI|Non Comunicato|-|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|1.865,00|1.520,00|4.025,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84900Q|CNEE84901T|ALBA - FRAZ. S.ROCCO CHERASCA|ALBA|SCUOLA PRIMARIA|SAN ROCCO CHERASCA N.2|CUNEO|PIEMONTE|0040030030|CN|Attivo|SI|SI|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|1.025,00|680,00|-|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84900Q|CNEE84902V|"GRINZANE CAVOUR - ""S. VIGLINO"""|GRINZANE CAVOUR|SCUOLA PRIMARIA|VIA BRICCO 15|CUNEO|PIEMONTE|0041000001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1973|Informazione assente|-|Informazione assente|3.0|10.000,00|8.800,00|13.700,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Grinzane Cavour|Amministrazione Comunale|2017-12-15|2017-06-15|2017-09-15|COMUNE di Grinzane Cavour|COMUNE|CNIC84900Q|||44.654924|7.989082000000001|Adeguamento antincendio|Cantiere aperto|H64H17000110009|116500.0|44500.0|SCUOLA PRIMARIA DI VIA BRICCO N. 15*VIA BRICCO N. 15*ADEGUAMENTI DI PREVENZIONE INCENDI|2017|ATTIVO|116500|116500|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4100.0|00467800041|COMUNE DI GRINZANE CAVOUR - CUNEO -|PIAZZA DELLA CHIESA ||9|GALLO|12060|GRINZANE CAVOUR|4100|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI GRINZANE CAVOUR - CUNEO -|NORMALE|ADEGUAMENTI DI PREVENZIONE INCENDI|SCUOLA PRIMARIA DI VIA BRICCO N. 15|VIA BRICCO N. 15|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||0|ASSENTE|5|ALTRA PUBBLICA|NON PREVISTE||20-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106253
NORD OVEST|CNIC84900Q|CNEE84902V|"GRINZANE CAVOUR - ""S. VIGLINO"""|GRINZANE CAVOUR|SCUOLA PRIMARIA|VIA BRICCO 15|CUNEO|PIEMONTE|0041000001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1973|Informazione assente|-|Informazione assente|3.0|10.000,00|8.800,00|13.700,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Grinzane Cavour|Amministrazione Comunale|2017-12-15|2017-06-15|2017-09-15|COMUNE di Grinzane Cavour|COMUNE|CNIC84900Q|||44.654924|7.989082000000001|Adeguamento antincendio|Cantiere aperto|H64H17000110009|116500.0|44500.0|SCUOLA PRIMARIA DI VIA BRICCO N. 15*VIA BRICCO N. 15*ADEGUAMENTI DI PREVENZIONE INCENDI|2017|ATTIVO|116500|116500|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4100.0|00467800041|COMUNE DI GRINZANE CAVOUR - CUNEO -|PIAZZA DELLA CHIESA ||9|GALLO|12060|GRINZANE CAVOUR|4100.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI GRINZANE CAVOUR - CUNEO -|NORMALE|ADEGUAMENTI DI PREVENZIONE INCENDI|SCUOLA PRIMARIA DI VIA BRICCO N. 15|VIA BRICCO N. 15|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||0.0|ASSENTE|4.0|COMUNALE|NON PREVISTE||20-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106253
NORD OVEST|CNIC84900Q|CNEE84903X|"RODDI - ""ELSA MALFERRARI"""|RODDI|SCUOLA PRIMARIA|VIA SINEO, 1/A|CUNEO|PIEMONTE|0041940003|CN|Attivo|SI|NO|NO|Non classificato a rischio|SI|SI|NO|2003|Informazione assente|-|Informazione assente|3.0|920,00|90,00|4.780,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84900Q|CNEE849052|"DIANO D'ALBA - CAP. ""EINAUDI"""|DIANO D'ALBA|SCUOLA PRIMARIA|P.ZA UMBERTO I 25/A|CUNEO|PIEMONTE|0040800004|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1900 e il 1920|-|Dal 1976 in poi|4.0|1.100,00|420,00|11.050,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80800D|CNIC80800D|BORGO S. DALMAZZO|BORGO SAN DALMAZZO|ISTITUTO COMPRENSIVO|P.ZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC809009|CNIC809009|"""A. VASSALLO"" BOVES"|BOVES|ISTITUTO COMPRENSIVO|VIA DON CAVALLERA, 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81000D|CNIC81000D|ROBILANTE|ROBILANTE|ISTITUTO COMPRENSIVO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC811009|CNIC811009|SAN MICHELE MONDOVI'|SAN MICHELE MONDOVI'|ISTITUTO COMPRENSIVO|VIA DELLE SCUOLE N.1|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC818004|CNEE818016|BALDISSERO D'ALBA-CAPOLUOGO|BALDISSERO D'ALBA|SCUOLA PRIMARIA|VIA XXV APRILE, N.10|CUNEO|PIEMONTE|0040100002|CN|Attivo|SI|SI|SI|Non classificato a rischio|NO|SI|NO|1959|Informazione assente|-|Informazione assente|4.0|300,00|-|900,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84900Q|CNEE849063|RODELLO - CAPOLUOGO|RODELLO|SCUOLA PRIMARIA|P.ZA COMUNALE, 4|CUNEO|PIEMONTE|0041960001|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|Dal 1976 in poi|2.0|1.100,00|400,00|1.468,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Rodello|MIUR|2017-07-31|2016-05-17|2016-09-10|RODELLO|COMUNE|CNIC84900Q|||44.630388|8.058662|Efficientamento energetico|Concluso|I36J15000000002|160000.0|155642.84|SCUOLE COMUNALI *TERRITORIO COMUNALE*RIQUALIFICAZIONE ENERGETICA E MESSA IN SICUREZZA DEI LOCALI AD ESSA ASSERVITI|2015|ATTIVO|160000|160000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4196.0|81000850040|COMUNE DI RODELLO - CUNEO -|COMUNALE|PIAZZA|6||12050|RODELLO|4196|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|9.0|MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI RODELLO - CUNEO -|NORMALE|RIQUALIFICAZIONE ENERGETICA E MESSA IN SICUREZZA DEI LOCALI AD ESSA ASSERVITI|SCUOLE COMUNALI |TERRITORIO COMUNALE|DATO NON PRESENTE|DATO NON PRESENTE|S|NO|NO||||30-NOV-17||||0|ASSENTE|2|REGIONALE|NON PREVISTE||24-FEB-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98260
NORD OVEST|CNIC84900Q|CNEE849063|RODELLO - CAPOLUOGO|RODELLO|SCUOLA PRIMARIA|P.ZA COMUNALE, 4|CUNEO|PIEMONTE|0041960002|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1986|Informazione assente|-|Informazione assente|2.0|-|-|1.109,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC84900Q|CNEE849074|"SINIO -  ""ELIGIO COCCIO"""|SINIO|SCUOLA PRIMARIA|P.ZA DON MARCHISIO|CUNEO|PIEMONTE|0042200001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|Dal 1976 in poi|2.0|672,00|450,00|666,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85000X|CNEE850012|BUSCA - CAPOLUOGO|BUSCA|SCUOLA PRIMARIA|VIA MICHELIS  1/2|CUNEO|PIEMONTE|0040340002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|630,00|-|5.000,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|SI|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85000X|CNEE850012|BUSCA - CAPOLUOGO|BUSCA|SCUOLA PRIMARIA|VIA MICHELIS  1/2|CUNEO|PIEMONTE|0040340003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1990|Informazione assente|-|Informazione assente|8.0|1.130,00|205,00|10.950,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|NO|SI|SI|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85000X|CNEE850023|BUSCA - FRAZ. CASTELLETTO|BUSCA|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|0040340004|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1977|Informazione assente|-|Informazione assente|5.0|2.883,00|2.391,00|3.500,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85700P|CNAA85701G|CUNEO-VIA XXVIII APRILE|CUNEO|SCUOLA INFANZIA|VIA XXVIII APRILE 25|CUNEO|PIEMONTE|0040780016|CN|Attivo|NO|NO|NO|Non Comunicato|-|SI|NO|1978|Informazione assente|-|Informazione assente|2.0|1.900,00|1.170,00|3.285,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81400R|CNEE814064|FEISOGLIO|FEISOGLIO|SCUOLA PRIMARIA|VIA FIRENZE, 31|CUNEO|PIEMONTE|0040880001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|NO|SI|1975|Informazione assente|1988|Informazione assente|3.0|1.232,00|1.010,00|2.163,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81400R|CNEE814075|LEQUIO BERRIA - CAPOLUOGO|LEQUIO BERRIA|SCUOLA PRIMARIA|VIA LANGA, 5|CUNEO|PIEMONTE|0041060001|CN|Attivo|NO|NO|NO|Non classificato a rischio|SI|SI|NO|1968|Informazione assente|-|Informazione assente|2.0|1.747,00|47,00|3.434,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Lequio Berria|MIUR|2017-07-31|2016-06-14|2016-10-31|LEQUIO BERRIA|COMUNE|CNIC81400R|||44.602424|8.096895|Miglioramento sismico|Concluso|F31E15000030006|270000.0|260000.0|SCUOLA PRIMARIA E SECONDARIA DI I GRADO*VIA LANGA 5*MESSA IN SICUREZZA, MIGLIORAMENTO ENERGETICO, ADEGUAMENTO ALLA NORMATIVA ANTINCENDIO, MIGLIORAMENTO PALESTRA E AMPLIAMENTO ALL?ESTERNO DELLA SAGOMA PER ESIGENZE DIDATTICHE |2015|ATTIVO|270000|270000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4106.0|00512950049|COMUNE DI LEQUIO BERRIA - CUNEO -|ROMA|VIA|20|LEQUIO BERRIA|12050|LEQUIO BERRIA|4106.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI LEQUIO BERRIA - CUNEO -|NORMALE|MESSA IN SICUREZZA, MIGLIORAMENTO ENERGETICO, ADEGUAMENTO ALLA NORMATIVA ANTINCENDIO, MIGLIORAMENTO PALESTRA E AMPLIAMENTO ALL?ESTERNO DELLA SAGOMA PER ESIGENZE DIDATTICHE |SCUOLA PRIMARIA E SECONDARIA DI I GRADO|VIA LANGA 5|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||30-NOV-17||||0.0|ASSENTE|4.0|COMUNALE|NON PREVISTE||17-FEB-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98250
NORD OVEST|CNIC81400R|CNEE814075|LEQUIO BERRIA - CAPOLUOGO|LEQUIO BERRIA|SCUOLA PRIMARIA|VIA LANGA, 5|CUNEO|PIEMONTE|0041060001|CN|Attivo|NO|NO|NO|Non classificato a rischio|SI|SI|NO|1968|Informazione assente|-|Informazione assente|2.0|1.747,00|47,00|3.434,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Lequio Berria|MIUR|2017-07-31|2016-06-14|2016-10-31|LEQUIO BERRIA|COMUNE|CNIC81400R|||44.602424|8.096895|Miglioramento sismico|Concluso|F31E15000030006|270000.0|260000.0|SCUOLA PRIMARIA E SECONDARIA DI I GRADO*VIA LANGA 5*MESSA IN SICUREZZA, MIGLIORAMENTO ENERGETICO, ADEGUAMENTO ALLA NORMATIVA ANTINCENDIO, MIGLIORAMENTO PALESTRA E AMPLIAMENTO ALL?ESTERNO DELLA SAGOMA PER ESIGENZE DIDATTICHE |2015|ATTIVO|270000|270000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4106.0|00512950049|COMUNE DI LEQUIO BERRIA - CUNEO -|ROMA|VIA|20|LEQUIO BERRIA|12050|LEQUIO BERRIA|4106|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI LEQUIO BERRIA - CUNEO -|NORMALE|MESSA IN SICUREZZA, MIGLIORAMENTO ENERGETICO, ADEGUAMENTO ALLA NORMATIVA ANTINCENDIO, MIGLIORAMENTO PALESTRA E AMPLIAMENTO ALL?ESTERNO DELLA SAGOMA PER ESIGENZE DIDATTICHE |SCUOLA PRIMARIA E SECONDARIA DI I GRADO|VIA LANGA 5|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||30-NOV-17||||0|ASSENTE|2|REGIONALE|NON PREVISTE||17-FEB-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98250
NORD OVEST|CNIC81400R|CNEE814086|NIELLA BELBO - CAPOLUOGO|NIELLA BELBO|SCUOLA PRIMARIA|PIAZZA SAN BERNARDINO, 3|CUNEO|PIEMONTE|0041500001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1971|Informazione assente|-|Informazione assente|2.0|685,00|449,00|1.534,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86100A|CNAA861017|"CUNEO- ""GHIGLIANO"" VIA NEGRELLI"|CUNEO|SCUOLA INFANZIA|VIA LUIGI NEGRELLI, 14|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
